WardCode,WardName,Borough,type1_count,type2_count,type3_count,population,area_km2,pop_density,type1_density,type2_density,type3_density
E05009385,Stoke Newington,Hackney,945,1113,429,13536,0.96182,14073.319332099562,982.512320392589,1157.1811773512716,446.0294025909214
E05009386,Victoria,Hackney,834,1129,277,12282,0.76086,16142.260074126647,1096.1280656099677,1483.8472255079778,364.06171963304683
E05009387,Woodberry Down,Hackney,1026,1502,359,12065,0.8808,13697.774750227067,1164.850136239782,1705.2679382379654,407.58401453224343
E05009388,Abingdon,Kensington and Chelsea,590,1005,160,7981,0.60179,13262.101397497465,980.4084481297461,1670.017780288805,265.87347745891424
E05009389,Brompton & Hans Town,Kensington and Chelsea,910,4394,293,7875,1.06809,7372.974187568463,851.9881283412446,4113.885533990581,274.3214523120711
E05009390,Campden,Kensington and Chelsea,528,1737,199,8686,1.02376,8484.410408689537,515.7458779401422,1696.6867234508088,194.38149566304602
E05009391,Chelsea Riverside,Kensington and Chelsea,624,962,256,7732,0.6941200000000001,11139.284273612631,898.9800034576153,1385.9275053304902,368.81230911081656
E05009392,Colville,Kensington and Chelsea,915,2198,611,8615,0.48988,17585.939413733977,1867.8043602514902,4486.813097085001,1247.244223075039
E05009393,Courtfield,Kensington and Chelsea,555,1832,198,8406,0.61433,13683.199583285856,903.4232415802581,2982.110592027086,322.30234564484886
E05009394,Dalgarno,Kensington and Chelsea,934,675,278,7254,0.8898199999999999,8152.210559438988,1049.6504911105617,758.5803870445709,312.42273718280103
E05009395,Earl's Court,Kensington and Chelsea,905,1462,379,9047,0.48225999999999997,18759.590262513997,1876.5810973333887,3031.5597395595737,785.883133579397
E05009396,Golborne,Kensington and Chelsea,971,1044,483,8881,0.55852,15900.952517367328,1738.5232399914057,1869.225811072119,864.7855045477332
E05009397,Holland,Kensington and Chelsea,492,777,213,9125,0.9827800000000001,9284.885732310384,500.6206882516941,790.6143796170047,216.73212723091635
E05009398,Norland,Kensington and Chelsea,286,735,138,5691,0.51967,10951.180556891875,550.3492601073759,1414.3591125137107,265.5531394923702
E05009399,Notting Dale,Kensington and Chelsea,898,2156,364,9148,0.55688,16427.23746588134,1612.5556672891826,3871.57017669875,653.6417181439448
E05009400,Pembridge,Kensington and Chelsea,439,1401,269,5377,0.38656,13909.871688741721,1135.6581125827813,3624.2756622516554,695.8816225165563
E05009401,Queen's Gate,Kensington and Chelsea,380,1237,118,7905,0.58218,13578.274760383385,652.7190903157099,2124.7724071592975,202.6864543611941
E05009402,Redcliffe,Kensington and Chelsea,396,989,153,9248,0.71854,12870.543045620287,551.1175439084811,1376.402148801737,212.9317783282768
E05009403,Royal Hospital,Kensington and Chelsea,519,2744,163,8504,1.01214,8401.999723358429,512.7749125615034,2711.087398976426,161.0449147351157
E05009404,St. Helen's,Kensington and Chelsea,463,597,200,6163,0.47822000000000003,12887.374011961021,968.1736439295721,1248.3794069675043,418.2175567730333
E05009405,Stanley,Kensington and Chelsea,878,1803,253,8628,0.7242400000000001,11913.177952060089,1212.3053131558597,2489.5062410250744,349.33171324422835
E05011095,Borough & Bankside,Southwark,1350,6358,463,9024,1.19577,7546.601771243634,1128.9796532778043,5317.076026326133,387.19820701305434
E05011096,Camberwell Green,Southwark,1340,2141,422,15451,0.9275199999999999,16658.4008970157,1444.7127824736936,2308.3060203553564,454.97671209246164
E05011097,Champion Hill,Southwark,435,721,130,9221,1.05054,8777.390675271765,414.07276257924497,686.3137053324956,123.74588306965941
E05011098,Chaucer,Southwark,1354,2514,450,14613,0.7506,19468.425259792166,1803.8902211564082,3349.3205435651475,599.5203836930456
E05011099,Dulwich Hill,Southwark,348,600,91,9666,0.99851,9680.423831508948,348.51929374768406,600.8953340477311,91.13579233057256
E05011100,Dulwich Village,Southwark,317,1024,89,10317,2.6199700000000004,3937.831349213922,120.99375183685308,390.8441699714118,33.96985461665591
E05011101,Dulwich Wood,Southwark,459,698,137,10616,3.01593,3519.975596250576,152.19186121693807,231.4377323081106,45.42545748740853
E05011102,Faraday,Southwark,1288,1578,505,12426,1.10141,11281.902288884248,1169.410119755586,1432.7089821229151,458.5031913637973
E05011103,Goose Green,Southwark,608,1279,199,13505,1.15552,11687.37884242592,526.1700360011076,1106.8609803378565,172.21683744115202
E05011104,London Bridge & West Bermondsey,Southwark,1803,5553,705,14951,1.27087,11764.38188012936,1418.7131649972066,4369.44770118108,554.7380928025683
E05011105,Newington,Southwark,835,947,258,13357,0.77889,17148.76298321971,1072.0384136399234,1215.832787685039,331.24061163964103
E05011106,North Bermondsey,Southwark,1089,1824,358,15180,1.12599,13481.469640050089,967.148908960115,1619.9078144566115,317.94243288128666
E05011107,North Walworth,Southwark,1896,4759,876,15679,0.7961,19694.761964577312,2381.610350458485,5977.8922245949,1100.3642758447431
E05011108,Nunhead & Queen's Road,Southwark,1015,1270,293,15588,1.31721,11834.103901428018,770.5680946849781,964.1590938422879,222.4398539336932
E05011109,Old Kent Road,Southwark,1382,2024,494,19085,1.65918,11502.669993611302,832.9415735483793,1219.879699610651,297.7374365650502
E05011110,Peckham,Southwark,1200,1371,444,14786,0.85524,17288.714279032785,1403.1149151115476,1603.0587905149432,519.1525185912726
E05011111,Peckham Rye,Southwark,445,536,96,10085,1.8923699999999999,5329.2960678937,235.1548587221315,283.2427062360955,50.73003693780815
E05011112,Rotherhithe,Southwark,1060,1847,373,15543,1.5250299999999999,10191.93065054458,695.0682937384839,1211.1237155990375,244.5853524192967
E05011113,Rye Lane,Southwark,1338,3184,452,14441,1.27179,11354.862044834446,1052.0604816832968,2503.5579773390264,355.404587235314
E05011114,St George's,Southwark,956,2154,315,8456,0.57296,14758.447361072325,1668.528344037978,3759.4247416922644,549.7765987154426
E05011115,St Giles,Southwark,1244,1547,355,16019,1.12079,14292.597185913508,1109.931387681903,1380.2764121735563,316.74087027899964
E05011116,South Bermondsey,Southwark,1183,1435,379,15830,1.20093,13181.45104210903,985.0699041576112,1194.907280191185,315.5887520504942
E05011117,Surrey Docks,Southwark,533,904,182,12923,1.7102899999999999,7556.028509784891,311.6430546866321,528.5653310257326,106.4147016003134
E05011217,Barnehurst,Bexley,489,406,121,11793,2.13007,5536.437769650763,229.5699202373631,190.6040646551522,56.80564488490989
E05011218,Belvedere,Bexley,1069,1357,344,17643,5.7569799999999995,3064.6276346278783,185.68763483632046,235.71386386612429,59.75355134115457
E05011219,Bexleyheath,Bexley,1428,1692,709,15708,3.62546,4332.691575689706,393.8810523354278,466.6993981453388,195.56139083040497
E05011220,Blackfen & Lamorbey,Bexley,459,586,174,16758,2.90792,5762.882060029162,157.84478252496632,201.51861124102453,59.836584225150624
E05011221,Blendon & Penhill,Bexley,358,600,143,15665,3.37376,4643.187422934649,106.11306079863417,177.84311865692877,42.385943279901355
E05011222,Crayford,Bexley,866,1349,343,16293,5.11336,3186.358871661686,169.36026409249496,263.8187023796486,67.07918081261636
E05011223,Crook Log,Bexley,582,1189,237,15290,2.67716,5711.27612843461,217.39455243616368,444.12735884295296,88.52664764153057
E05011224,East Wickham,Bexley,652,535,164,15894,2.81719,5641.7919984097625,231.43628935215585,189.90554417699906,58.21403597201466
E05011225,Erith,Bexley,1120,1310,460,13049,3.22572,4045.298413997495,347.20930520937964,406.1108837716851,142.60382178242378
