WardCode,WardName,Borough,type1_count,type2_count,type3_count,population,area_km2,pop_density,type1_density,type2_density,type3_density
E05009399,Notting Dale,Kensington and Chelsea,898,2156,364,9148,0.560312541972194,16326.602234889786,1602.6769574695045,3847.8524724991667,649.6374304219372
E05009400,Pembridge,Kensington and Chelsea,439,1401,269,5377,0.3863695887098271,13916.726774369026,1136.217789464014,3626.0617836881174,696.2245680314801
E05009401,Queen's Gate,Kensington and Chelsea,380,1237,118,7905,0.5747144805753182,13754.656037353881,661.1978866786179,2152.3731205827644,205.31934375809715
E05009402,Redcliffe,Kensington and Chelsea,396,989,153,9248,0.7222264056853979,12804.848904996188,548.30451626065,1369.3766832873303,211.8449267370693
E05009403,Royal Hospital,Kensington and Chelsea,519,2744,163,8504,0.9173307569353557,9270.374873737366,565.7719378492113,2991.2874710177953,177.68945254223783
E05009404,St. Helen's,Kensington and Chelsea,463,597,200,6163,0.4839825974091934,12733.92893255077,956.6459671865986,1233.5154263723527,413.2379987847078
E05009405,Stanley,Kensington and Chelsea,878,1803,253,8628,0.7260584012481414,11883.341595067159,1209.2691145652489,2483.2713138509607,348.4568177505785
E05011095,Borough & Bankside,Southwark,1350,6358,463,9024,0.9998163325263779,9025.657719751165,1350.247996638306,6359.167972315814,463.08505366187825
E05011096,Camberwell Green,Southwark,1340,2141,422,15451,0.9220493519308542,16757.237524915796,1453.2844659495931,2322.001523580656,457.67615270949875
E05011097,Champion Hill,Southwark,435,721,130,9221,1.0410902402894695,8857.061225966494,417.8312149761875,692.5432321789223,124.8690987285158
E05011098,Chaucer,Southwark,1354,2514,450,14613,0.7532138302630471,19400.865216317998,1797.630295140941,3337.697608555632,597.4399060660439
E05011099,Dulwich Hill,Southwark,348,600,91,9666,1.0067984467620748,9600.729948567607,345.6501160874744,595.9484760128868,90.3855188619545
E05011100,Dulwich Village,Southwark,317,1024,89,10317,2.625366059654234,3929.7377072661516,120.74506670576427,390.0408463933836,33.900034500987445
E05011101,Dulwich Wood,Southwark,459,698,137,10616,3.010842526605893,3525.9233607170286,152.4490224725995,231.82879670125152,45.502213679185466
